,TITLE,COMPANY,LOCATION,SALARY
0,Accounts Assistant,Reed Global,County Louth,"€37,500 - €40,000 per annum"
1,Head of Accounting,Incorpro Limited,"Athlone, County Westmeath","€80,000 - €85,000 per annum"
2,Supervisor Fund Accounting,Cpl Resources - Finance,"Dublin, County Dublin",€ Not Disclosed
3,VP Private Equity Fund Accounting,Cpl Resources - Finance,"Dublin, County Dublin",€ Not Disclosed
4,Accountant,Incorpro Limited,"Athlone, County Westmeath","€55,000 - €60,000 per annum"
5,Accountant (3 Month Contract),Reed Global,"Dublin, County Dublin","€50,000 - €55,000 per annum"
6,Assiatant Accountant,Executive Edge,"Dublin, County Dublin","€40,000 - €45,000 per annum"
7,Senior Accountant,Lex Consultancy,"County Dublin, Dublin",€ Not Disclosed
8,Financial Accountant - Cork,Cpl Resources - Cork,"Cork, County Cork","€45,000 - €00 per annum"
9,Hotel Assistant Accounts Manager,Career Vision Recruiters,County Offaly,"€42,000 - €45,000 per annum"
10,Assistant Financial Controller,Hilton Dublin City,"County Dublin, Dublin",€ Not Disclosed
11,Senior Financial Accountant,AMD,County Dublin,€ Not Disclosed
12,Senior Financial Accountant D9,Cpl Resources - Finance,"Dublin, County Dublin",€ Not Disclosed
13,Assistant Accountant / Audit Semi-Senior,The Recruitment Bureau (Drogheda) Limited,County Louth,€ Not Disclosed
14,Financial Controller,The Firm,"Dublin, County Dublin","€75,000 per annum"
15,Accounts Assistant,CSA Personnel Consultants,"Cork, County Cork","€35,000 - €45,000 per annum"
16,Financial Accountant,Europcar,"Dublin, County Dublin",€ Not Disclosed
17,Billings Operations Manager- D2 immediate,Cpl Resources - Finance,"Dublin, County Dublin",€ Not Disclosed
18,Practice Accountant - Dublin 12 (Hybrid),Leinster Appointments,"Dublin, County Dublin","€40,000 - €50,000 per annum"
19,Senior Tax Advisor,Total Talent Solutions,"County Dublin, Dublin","€65,000 - €75,000 per annum"
20,International Payroll Analyst,Regeneron Ireland,County Dublin,€ Not Disclosed
21,Head of Payroll,Staffline Recruitment (ROI),"Craigavon, County Armagh",€ Not Disclosed
22,Financial Controller required for Leading Irish Org in West Dublin,Lex Consultancy,"Dundalk, County Louth","€100,000 - €110,000 per annum"
23,Financial Controller,Michael Moore Car Sales,"Athlone, County Westmeath",€ Not Disclosed
24,Qualified Accountant,Reed Global,"Dublin, County Dublin","€53,000 - €63,000 per annum"
25,Payroll Specialist,Cpl Resources - Cork,"Tralee, County Kerry",€ Not Disclosed
26,"Trainee Accountant - Dublin 1, IFSC",Lex Consultancy,"County Dublin, Dublin",€ Not Disclosed
27,Accounts Assistant,5* Glenlo Abbey Hotel and Estate,"Bushypark, County Galway","€32,000 per annum"
28,Accounts Assistant Part-Time,Lyrath Estate Hotel,"Kilkenny, County Kilkenny",€ Not Disclosed
29,Accounts Assistant (AR) - Mullingar Co. Westmeath,Leinster Appointments,"Mullingar, County Westmeath","€35,000 - €38,000 per annum"
30,Accounts Assistant,Ascension,"Shannon, Clare","€30,000 - €33,000 per annum"
31,Accounts Assistant - Permanent - North Kildare,Leinster Appointments,"Maynooth, County Kildare","€35,000 - €40,000 per annum"
32,Office Bookkeeper,Spar,"Kilmallock, County Limerick",€ Not Disclosed
33,Assistant Accountant (Part Time),Reed Global,"Dublin, County Dublin","€45,000 per annum"
34,Part Qualified Accountant,Robert Walters Limited,"Dublin, County Dublin","€38,000 - €42,000 per annum"
35,Senior Accountant,Total Talent Solutions,"Kilkenny, County Kilkenny","€60,000 - €65,000 per annum"
36,Bookkeeper,Liberty Recycling,"Dublin, County Dublin","€40,000 - €45,000 per annum"
37,Bookkeeper,Boylans Opticians,"Dublin, County Dublin",€20.00 - €25.00 per hour
38,Accounts Assistant,Reed Global,"Dublin, County Dublin","€36,000 - €40,000 per annum"
39,Accounts Assistant - 4 Day Week,Lex Consultancy,"Dublin, County Dublin",€ Not Disclosed
40,Part Time Accounts Assistant,Field Management Ireland,County Dublin,€ Not Disclosed
